id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
14121258,JK162147,2026-02-25 00:00:00,054XX S WOLCOTT AVE,420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,RESIDENCE,FALSE,TRUE,932,9,16,61,04B,1164611,1868625,2026,2026-03-04T15:45:19.000,41.79511697,-87.67190376,"
,  
(41.795116965, -87.671903764)"
14121831,JK162814,2026-02-25 00:00:00,048XX S LOOMIS BLVD,630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,933,9,20,61,5,1167816,1872624,2026,2026-03-04T15:45:19.000,41.80602241,-87.66003612,"
,  
(41.806022407, -87.660036124)"
14122854,JK164159,2026-02-25 00:00:00,0000X S WACKER DR,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,STREET,FALSE,FALSE,122,1,42,32,11,1173943,1900083,2026,2026-03-04T15:45:19.000,41.8812382,-87.6367478,"
,  
(41.8812382, -87.636747795)"
14121527,JK162427,2026-02-25 00:00:00,063XX N SACRAMENTO AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,2413,24,50,2,08A,1155197,1941892,2026,2026-03-04T15:45:19.000,41.99636202,-87.70445591,"
,  
(41.996362017, -87.704455913)"
14121079,JK162033,2026-02-25 00:00:00,067XX N GREENVIEW AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,2432,24,49,1,08B,1165051,1944766,2026,2026-03-04T15:45:19.000,42.00404403,-87.66812532,"
,  
(42.004044032, -87.668125318)"
14122856,JK164226,2026-02-25 00:00:00,013XX W 112TH PL,710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,FALSE,FALSE,2234,22,21,75,6,1169238,1830118,2026,2026-03-04T15:45:19.000,41.68934944,-87.65604786,"
,  
(41.689349439, -87.656047862)"
14120591,JK161307,2026-02-25 00:00:00,018XX N CLARK ST,1330,CRIMINAL TRESPASS,TO LAND,HOTEL / MOTEL,TRUE,FALSE,1814,18,43,7,26,1174553,1912486,2026,2026-03-04T15:45:19.000,41.91525907,-87.63413676,"
,  
(41.915259074, -87.634136763)"
14121205,JK161330,2026-02-25 00:00:00,011XX W GRACE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1923,19,44,6,14,1167924,1925481,2026,2026-03-04T15:45:19.000,41.95106371,-87.65811486,"
,  
(41.951063713, -87.658114858)"
14121621,JK162602,2026-02-25 00:00:00,005XX W GRAND AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,1214,12,34,24,08A,1172432,1903745,2026,2026-03-04T15:45:19.000,41.89132048,-87.64218776,"
,  
(41.891320478, -87.642187757)"
14120997,JK161819,2026-02-25 00:00:00,007XX W 54TH PL,320,ROBBERY,STRONG ARM - NO WEAPON,STREET,FALSE,FALSE,935,9,16,61,3,1172272,1868731,2026,2026-03-04T15:45:19.000,41.79524265,-87.64380774,"
,  
(41.795242654, -87.643807736)"
14122050,JK162144,2026-02-25 00:00:00,020XX E 75TH ST,810,THEFT,OVER $500,APARTMENT,FALSE,FALSE,414,4,8,43,6,1191300,1855646,2026,2026-03-04T15:45:19.000,41.75889644,-87.57445617,"
,  
(41.758896441, -87.574456169)"
14125190,JK167024,2026-02-25 00:00:00,017XX W CARMEN AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,2032,20,40,3,6,1163839,1933916,2026,2026-03-04T15:45:19.000,41.97429705,-87.67289208,"
,  
(41.974297051, -87.672892083)"
14122482,JK162743,2026-02-25 00:00:00,019XX W NORWOOD ST,710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,FALSE,FALSE,2413,24,40,2,6,1162539,1940330,2026,2026-03-04T15:45:19.000,41.9919247,-87.67749195,"
,  
(41.991924702, -87.677491948)"
14120972,JK161956,2026-02-25 00:00:00,043XX W KINZIE ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1114,11,28,26,7,1147284,1902228,2026,2026-03-04T15:45:19.000,41.88767638,-87.73458372,"
,  
(41.887676379, -87.734583723)"
14121574,JK162382,2026-02-25 00:00:00,017XX W PRYOR AVE,484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",SCHOOL - PUBLIC GROUNDS,FALSE,FALSE,2212,22,19,75,08B,1166533,1831078,2026,2026-03-04T15:45:19.000,41.69204178,-87.66592364,"
,  
(41.692041778, -87.665923635)"
14125281,JK167126,2026-02-25 00:00:00,104XX S WESTERN AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,2211,22,19,72,26,1162238,1835242,2026,2026-03-04T15:45:19.000,41.70355877,-87.68153296,"
,  
(41.703558768, -87.681532955)"
14122131,JK162543,2026-02-24 23:55:00,004XX E 32ND ST,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,211,2,4,35,6,1179519,1883862,2026,2026-03-04T15:45:19.000,41.83660077,-87.61677038,"
,  
(41.836600771, -87.61677038)"
14120447,JK161142,2026-02-24 23:43:00,001XX E 127TH ST,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,TRUE,FALSE,532,5,9,53,26,1179437,1820744,2026,2026-03-04T15:45:19.000,41.66339967,-87.61899411,"
,  
(41.663399666, -87.618994107)"
14121887,JK163015,2026-02-24 23:30:00,090XX S CONSTANCE AVE,820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,FALSE,FALSE,413,4,8,48,6,1190092,1845390,2026,2026-03-04T15:45:19.000,41.73078219,-87.57921275,"
,  
(41.730782187, -87.579212753)"
14122328,JK163367,2026-02-24 23:30:00,022XX S MICHIGAN AVE,281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,132,1,3,33,2,1177561,1889490,2026,2026-03-04T15:45:19.000,41.85208901,-87.62378435,"
,  
(41.852089006, -87.623784345)"
14120446,JK161144,2026-02-24 23:20:00,011XX N LARRABEE ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,PARKING LOT / GARAGE (NON RESIDENTIAL),TRUE,TRUE,1822,18,27,8,26,1172122,1908040,2026,2026-03-04T15:45:19.000,41.90311305,-87.64319935,"
,  
(41.903113054, -87.643199348)"
14120440,JK161129,2026-02-24 23:15:00,023XX W CERMAK RD,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,1034,10,25,31,6,1161121,1889345,2026,2026-03-04T15:45:19.000,41.85204803,-87.68412756,"
,  
(41.852048034, -87.684127559)"
14120476,JK161135,2026-02-24 23:13:00,095XX S YATES AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,TRUE,TRUE,431,4,7,51,26,1194083,1842098,2026,2026-03-04T15:45:19.000,41.72165175,-87.56470031,"
,  
(41.721651752, -87.564700306)"
14121031,JK161799,2026-02-24 23:00:00,071XX S EAST END AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,324,3,7,43,7,1188768,1858003,2026,2026-03-04T15:45:19.000,41.76542517,-87.58366037,"
,  
(41.765425172, -87.583660372)"
14120471,JK161164,2026-02-24 23:00:00,027XX W HARRISON ST,560,ASSAULT,SIMPLE,OTHER (SPECIFY),TRUE,FALSE,1135,11,28,27,08A,1158248,1897253,2026,2026-03-04T15:45:19.000,41.87380752,-87.69445629,"
,  
(41.873807522, -87.69445629)"
14121070,JK162055,2026-02-24 23:00:00,006XX N MONTICELLO AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1122,11,27,23,7,1151940,1903950,2026,2026-03-04T15:45:19.000,41.8923113,-87.71743991,"
,  
(41.892311301, -87.717439907)"
14121253,JK162178,2026-02-24 23:00:00,032XX W ADAMS ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1124,11,28,27,6,1154847,1898893,2026,2026-03-04T15:45:19.000,41.87837664,-87.70689924,"
,  
(41.878376637, -87.706899236)"
14121237,JK161280,2026-02-24 23:00:00,019XX W NELSON ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1931,19,32,5,6,1162802,1920263,2026,2026-03-04T15:45:19.000,41.93685442,-87.67708989,"
,  
(41.936854423, -87.677089885)"
14121215,JK161436,2026-02-24 23:00:00,108XX S SANGAMON ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,2234,22,21,75,6,1171910,1833009,2026,2026-03-04T15:45:19.000,41.69722473,-87.64618127,"
,  
(41.697224733, -87.646181269)"
14120423,JK161108,2026-02-24 22:35:00,004XX W 62ND ST,2021,NARCOTICS,POSSESS - BARBITURATES,STREET,TRUE,FALSE,711,7,20,68,18,1174353,1863832,2026,2026-03-04T15:45:19.000,41.78175322,-87.63632235,"
,  
(41.78175322, -87.636322349)"
14120448,JK161162,2026-02-24 22:33:00,047XX W WILSON AVE,2896,PUBLIC PEACE VIOLATION,TIRE DEFLATION DEVICE DEPLOYMENT,STREET,TRUE,FALSE,1722,17,39,16,24,1144125,1930165,2026,2026-03-04T15:45:19.000,41.96439818,-87.74548134,"
,  
(41.964398179, -87.745481344)"
14120653,JK161322,2026-02-24 22:30:00,005XX W MADISON ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER (SPECIFY),FALSE,FALSE,121,1,42,28,26,1173039,1900311,2026,2026-03-04T15:45:19.000,41.88188393,-87.64006044,"
,  
(41.881883933, -87.640060441)"
14120413,JK161125,2026-02-24 22:30:00,019XX W MONTROSE AVE,710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,FALSE,FALSE,1912,19,47,5,6,1162499,1929230,2026,2026-03-04T15:45:19.000,41.9614667,-87.67795145,"
,  
(41.961466704, -87.677951454)"
14120436,JK161110,2026-02-24 22:30:00,022XX N CLYBOURN AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1811,18,32,7,08B,1165808,1915200,2026,2026-03-04T15:45:19.000,41.9228976,-87.66618724,"
,  
(41.922897596, -87.666187244)"
14120916,JK161699,2026-02-24 22:30:00,072XX S PAULINA ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,FALSE,735,7,17,67,26,1166263,1856764,2026,2026-03-04T15:45:19.000,41.76253383,-87.66618329,"
,  
(41.762533825, -87.666183294)"
14120596,JK161362,2026-02-24 22:30:00,070XX S SOUTH SHORE DR,760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,FALSE,FALSE,331,3,5,43,6,1193443,1858795,2026,2026-03-04T15:45:19.000,41.76748539,-87.56649946,"
,  
(41.767485391, -87.566499462)"
14120435,JK161105,2026-02-24 22:19:00,039XX W OGDEN AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,1014,10,24,29,15,1150580,1889144,2026,2026-03-04T15:45:19.000,41.85170864,-87.7228214,"
,  
(41.851708636, -87.722821404)"
14120942,JK161115,2026-02-24 22:15:00,048XX N MAGNOLIA AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2033,20,47,3,08B,1167069,1932279,2026,2026-03-04T15:45:19.000,41.96973613,-87.66106173,"
,  
(41.969736125, -87.661061731)"
14120499,JK161114,2026-02-24 22:11:00,132XX S ST LAWRENCE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,533,5,10,54,08B,1182591,1817444,2026,2026-03-04T15:45:19.000,41.65427165,-87.60755377,"
,  
(41.654271652, -87.607553767)"
14121310,JK161094,2026-02-24 22:09:00,053XX W MADISON ST,5011,OTHER OFFENSE,LICENSE VIOLATION,CONVENIENCE STORE,FALSE,FALSE,1522,15,37,25,26,1140917,1899509,2026,2026-03-04T15:45:19.000,41.88033463,-87.75803259,"
,  
(41.880334632, -87.758032591)"
14120599,JK161333,2026-02-24 22:00:00,044XX S PULASKI RD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,FALSE,FALSE,821,8,14,57,11,1150427,1874821,2026,2026-03-04T15:45:19.000,41.8124074,-87.72375599,"
,  
(41.812407401, -87.723755992)"
14120407,JK161098,2026-02-24 22:00:00,041XX W ADAMS ST,810,THEFT,OVER $500,APARTMENT,FALSE,TRUE,1115,11,28,26,6,1148832,1898689,2026,2026-03-04T15:45:19.000,41.87793519,-87.72899045,"
,  
(41.877935188, -87.72899045)"
14120505,JK161200,2026-02-24 22:00:00,060XX N KENMORE AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,TRUE,2433,24,48,77,6,1168152,1940159,2026,2026-03-04T15:45:19.000,41.99133566,-87.6568507,"
,  
(41.991335662, -87.656850699)"
14124253,JK164816,2026-02-24 22:00:00,015XX N BOSWORTH AVE,710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,FALSE,FALSE,1433,14,1,24,6,1165778,1910274,2026,2026-03-04T15:45:19.000,41.90938099,-87.66643822,"
,  
(41.909380985, -87.666438218)"
14121360,JK162233,2026-02-24 21:58:00,032XX S PRAIRIE AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,211,2,3,35,6,1178466,1883520,2026,2026-03-04T15:45:19.000,41.83568634,-87.62064461,"
,  
(41.835686337, -87.620644613)"
14120750,JK161591,2026-02-24 21:50:00,016XX W BELMONT AVE,760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,FALSE,FALSE,1922,19,32,6,6,1164766,1921308,2026,2026-03-04T15:45:19.000,41.93968048,-87.66984221,"
,  
(41.939680477, -87.669842213)"
14120417,JK161086,2026-02-24 21:46:00,026XX N ELSTON AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,1432,14,32,22,6,1160867,1917657,2026,2026-03-04T15:45:19.000,41.92974382,-87.68427378,"
,  
(41.929743818, -87.684273777)"
14120490,JK161147,2026-02-24 21:36:00,020XX N CICERO AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,2522,25,26,19,08B,1144063,1913069,2026,2026-03-04T15:45:19.000,41.91748635,-87.74613988,"
,  
(41.917486347, -87.746139876)"
14120394,JK161082,2026-02-24 21:36:00,038XX W LAWRENCE AVE,460,BATTERY,SIMPLE,RESTAURANT,FALSE,FALSE,1712,17,33,14,08B,1149765,1931618,2026,2026-03-04T15:45:19.000,41.96827726,-87.72470652,"
,  
(41.968277258, -87.724706522)"
