id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
14120560,JK161258,2026-02-24 21:30:00,003XX N HALSTED ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1214,12,34,28,14,1170974,1902779,2026,2026-03-04T15:45:19.000,41.88870181,-87.64757061,"
,  
(41.888701814, -87.647570608)"
14120521,JK161117,2026-02-24 21:30:00,071XX S PRINCETON AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,TRUE,731,7,6,69,26,1175529,1857661,2026,2026-03-04T15:45:19.000,41.76479307,-87.63219531,"
,  
(41.764793071, -87.632195313)"
14120711,JK161561,2026-02-24 21:30:00,039XX W 59TH ST,710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,FALSE,FALSE,822,8,23,62,6,1151214,1865191,2026,2026-03-04T15:45:19.000,41.78596591,-87.72112082,"
,  
(41.785965905, -87.721120822)"
14120493,JK161140,2026-02-24 21:30:00,044XX W FIFTH AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1131,11,24,26,17,1147094,1895862,2026,2026-03-04T15:45:19.000,41.87021097,-87.73544433,"
,  
(41.870210969, -87.73544433)"
14120376,JK161068,2026-02-24 21:27:00,047XX S MICHIGAN AVE,2027,NARCOTICS,POSSESS - CRACK,CHA APARTMENT,TRUE,FALSE,224,2,3,38,18,1177955,1873648,2026,2026-03-04T15:45:19.000,41.80860838,-87.62281917,"
,  
(41.808608378, -87.622819173)"
29051,JK160749,2026-02-24 21:27:00,094XX S ASHLAND AVE,110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,TRUE,FALSE,2221,22,21,73,01A,1167326,1842178,2026,2026-03-04T15:45:19.000,41.72248506,-87.66270386,"
,  
(41.722485061, -87.662703855)"
14120416,JK161063,2026-02-24 21:24:00,008XX W 119TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,TRUE,FALSE,524,5,21,53,15,1172846,1825938,2026,2026-03-04T15:45:19.000,41.67780025,-87.64296165,"
,  
(41.677800245, -87.642961651)"
14120461,JK161062,2026-02-24 21:22:00,076XX N PAULINA ST,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,FALSE,FALSE,2422,24,49,1,04B,1163657,1950529,2026,2026-03-04T15:45:19.000,42.01988743,-87.6730903,"
,  
(42.019887425, -87.673090304)"
14121101,JK161071,2026-02-24 21:20:00,076XX S COLFAX AVE,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,421,4,7,43,08B,1194849,1854853,2026,2026-03-04T15:45:19.000,41.75663374,-87.56147562,"
,  
(41.756633742, -87.56147562)"
14125684,JK166654,2026-02-24 21:19:00,006XX N LA SALLE DR,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,1832,18,42,8,6,1175023,1904549,2026,2026-03-04T15:45:19.000,41.89346903,-87.63264823,"
,  
(41.893469034, -87.632648229)"
14120400,JK161069,2026-02-24 21:18:00,020XX N MILWAUKEE AVE,860,THEFT,RETAIL THEFT,DRUG STORE,TRUE,FALSE,1431,14,1,22,6,1159682,1913243,2026,2026-03-04T15:45:19.000,41.91765602,-87.68875026,"
,  
(41.917656022, -87.688750258)"
14120392,JK161080,2026-02-24 21:15:00,054XX N KEDZIE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1712,17,39,13,08B,1154065,1935878,2026,2026-03-04T15:45:19.000,41.97988203,-87.70878139,"
,  
(41.979882033, -87.70878139)"
14120454,JK161136,2026-02-24 21:14:00,047XX W JACKSON BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,1113,11,28,25,08B,1144765,1898269,2026,2026-03-04T15:45:19.000,41.87686027,-87.74393424,"
,  
(41.87686027, -87.743934237)"
14120409,JK161073,2026-02-24 21:12:00,084XX S MARYLAND AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,632,6,8,44,15,1183361,1849259,2026,2026-03-04T15:45:19.000,41.74155834,-87.60375027,"
,  
(41.741558339, -87.603750265)"
14120412,JK161099,2026-02-24 21:09:00,077XX S CHAMPLAIN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,624,6,6,69,08B,1181905,1853877,2026,2026-03-04T15:45:19.000,41.75426439,-87.60894249,"
,  
(41.754264387, -87.608942485)"
14120437,JK161070,2026-02-24 21:04:00,026XX W CERMAK RD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,1023,10,25,30,15,1159036,1889294,2026,2026-03-04T15:45:19.000,41.85195109,-87.69178149,"
,  
(41.851951085, -87.691781493)"
14120572,JK161291,2026-02-24 21:00:00,001XX E 120TH ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,532,5,9,53,7,1179317,1825425,2026,2026-03-04T15:45:19.000,41.67624778,-87.61929131,"
,  
(41.676247775, -87.619291308)"
14121944,JK163116,2026-02-24 21:00:00,043XX W WEST END AVE,710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,FALSE,FALSE,1114,11,28,26,6,1147614,1900625,2026,2026-03-04T15:45:19.000,41.88327124,-87.733413,"
,  
(41.883271242, -87.733413002)"
14122196,JK163293,2026-02-24 21:00:00,028XX W WABANSIA AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1421,14,26,24,6,1157317,1911294,2026,2026-03-04T15:45:19.000,41.91235626,-87.69749246,"
,  
(41.912356259, -87.697492455)"
14120592,JK161312,2026-02-24 21:00:00,022XX N CLIFTON AVE,760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,FALSE,FALSE,1811,18,43,7,6,1168268,1915049,2026,2026-03-04T15:45:19.000,41.92243037,-87.6571528,"
,  
(41.92243037, -87.657152801)"
14120603,JK161385,2026-02-24 21:00:00,0000X E 81ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,623,6,6,44,14,1177897,1851312,2026,2026-03-04T15:45:19.000,41.74731739,-87.62370794,"
,  
(41.747317394, -87.623707936)"
14121271,JK162177,2026-02-24 21:00:00,025XX N CLARK ST,760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1935,19,43,7,6,1172365,1917185,2026,2026-03-04T15:45:19.000,41.92820201,-87.64203601,"
,  
(41.928202012, -87.642036006)"
14121199,JK161594,2026-02-24 21:00:00,028XX N LAKE SHORE DR,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1934,19,44,6,6,1173954,1918976,2026,2026-03-04T15:45:19.000,41.93308128,-87.63614354,"
,  
(41.933081281, -87.636143544)"
14120411,JK161054,2026-02-24 20:57:00,023XX W CERMAK RD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,1034,10,25,31,15,1161210,1889347,2026,2026-03-04T15:45:19.000,41.85205168,-87.68380085,"
,  
(41.852051675, -87.683800849)"
14120380,JK161052,2026-02-24 20:56:00,0000X W 95TH ST,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,TRUE,FALSE,511,5,9,49,18,1177703,1841947,2026,2026-03-04T15:45:19.000,41.72162305,-87.62470134,"
,  
(41.721623049, -87.624701342)"
14120451,JK161081,2026-02-24 20:54:00,001XX N PARK DR,4386,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,RESIDENCE,TRUE,TRUE,114,1,42,32,26,1178724,1901867,2026,2026-03-04T15:45:19.000,41.88602576,-87.61913792,"
,  
(41.886025757, -87.619137918)"
14120403,JK161055,2026-02-24 20:53:00,030XX W 83RD ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,835,8,18,70,15,1157436,1849416,2026,2026-03-04T15:45:19.000,41.74255306,-87.69873444,"
,  
(41.742553059, -87.698734444)"
14120539,JK161244,2026-02-24 20:47:00,010XX W SCHOOL ST,920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,FALSE,FALSE,1924,19,44,6,7,1168861,1922088,2026,2026-03-04T15:45:19.000,41.94173287,-87.65476925,"
,  
(41.941732873, -87.654769252)"
14120344,JK161051,2026-02-24 20:42:00,012XX W 61ST ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,APARTMENT,FALSE,FALSE,713,7,16,67,15,1168890,1864323,2026,2026-03-04T15:45:19.000,41.78322036,-87.65633685,"
,  
(41.783220355, -87.65633685)"
14120402,JK161048,2026-02-24 20:39:00,040XX W SCHOOL ST,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,1731,17,30,16,08A,1148724,1921619,2026,2026-03-04T15:45:19.000,41.94085946,-87.7287936,"
,  
(41.940859461, -87.728793604)"
14120353,JK161047,2026-02-24 20:39:00,005XX N HAMLIN AVE,2024,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,TRUE,FALSE,1122,11,27,23,18,1150961,1903302,2026,2026-03-04T15:45:19.000,41.89055235,-87.72105237,"
,  
(41.89055235, -87.721052371)"
14120372,JK161044,2026-02-24 20:33:00,034XX N HALSTED ST,530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1925,19,44,6,04A,1170319,1922907,2026,2026-03-04T15:45:19.000,41.94394845,-87.64938651,"
,  
(41.943948446, -87.649386514)"
14120608,JK161393,2026-02-24 20:30:00,030XX W WABANSIA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1421,14,26,23,14,1155927,1911148,2026,2026-03-04T15:45:19.000,41.91198379,-87.7026029,"
,  
(41.911983786, -87.702602901)"
14123916,JK165132,2026-02-24 20:30:00,048XX S HONORE ST,440,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",APARTMENT,FALSE,FALSE,931,9,15,61,08B,1164834,1872583,2026,2026-03-04T15:45:19.000,41.80597348,-87.67097418,"
,  
(41.805973482, -87.670974177)"
14124732,JK165741,2026-02-24 20:25:00,052XX N BROADWAY,860,THEFT,RETAIL THEFT,DRUG STORE,FALSE,FALSE,2023,20,48,77,6,1167370,1934861,2026,2026-03-04T15:45:19.000,41.97681473,-87.65988032,"
,  
(41.976814727, -87.659880317)"
14120401,JK161039,2026-02-24 20:20:00,045XX N KEDZIE AVE,460,BATTERY,SIMPLE,SMALL RETAIL STORE,FALSE,FALSE,1724,17,33,14,08B,1154229,1930061,2026,2026-03-04T15:45:19.000,41.96391656,-87.70833433,"
,  
(41.963916564, -87.708334327)"
14120396,JK161056,2026-02-24 20:12:00,0000X S HALSTED ST,330,ROBBERY,AGGRAVATED,GROCERY FOOD STORE,FALSE,FALSE,1232,12,34,28,3,1171058,1900047,2026,2026-03-04T15:45:19.000,41.88120318,-87.64734233,"
,  
(41.881203182, -87.647342333)"
14120241,JK161034,2026-02-24 20:06:00,041XX W 14TH ST,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,TRUE,FALSE,1011,10,24,29,24,1149157,1893058,2026,2026-03-04T15:45:19.000,41.86247678,-87.72794294,"
,  
(41.862476779, -87.727942936)"
14120358,JK161031,2026-02-24 20:03:00,017XX E 67TH ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,FALSE,TRUE,332,3,5,43,26,1189162,1860906,2026,2026-03-04T15:45:19.000,41.77338181,-87.58212333,"
,  
(41.773381812, -87.582123326)"
14120571,JK161293,2026-02-24 20:00:00,028XX N LAKEWOOD AVE,760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,FALSE,FALSE,1932,19,32,6,6,1167149,1918946,2026,2026-03-04T15:45:19.000,41.93314809,-87.66115208,"
,  
(41.933148086, -87.66115208)"
14121216,JK161432,2026-02-24 20:00:00,027XX N BOSWORTH AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1932,19,32,7,6,1165520,1918337,2026,2026-03-04T15:45:19.000,41.93151185,-87.6671559,"
,  
(41.931511847, -87.667155897)"
14120695,JK161318,2026-02-24 20:00:00,017XX N ASHLAND AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,1433,14,32,24,6,1165406,1911675,2026,2026-03-04T15:45:19.000,41.91323335,-87.66776484,"
,  
(41.913233349, -87.66776484)"
14120366,JK161049,2026-02-24 20:00:00,009XX N HARDING AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,FALSE,TRUE,1112,11,37,23,08B,1149885,1905954,2026,2026-03-04T15:45:19.000,41.89785072,-87.72493493,"
,  
(41.897850715, -87.724934928)"
14120655,JK161431,2026-02-24 20:00:00,051XX S MORGAN ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,934,9,20,61,7,1170512,1870920,2026,2026-03-04T15:45:19.000,41.80128807,-87.65019788,"
,  
(41.801288067, -87.650197877)"
14121578,JK162610,2026-02-24 20:00:00,059XX N SHERIDAN RD,810,THEFT,OVER $500,APARTMENT,FALSE,FALSE,2022,20,48,77,6,1168560,1939523,2026,2026-03-04T15:45:19.000,41.98958161,-87.65536849,"
,  
(41.989581611, -87.655368494)"
14120992,JK161042,2026-02-24 20:00:00,040XX E 134TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,433,4,10,55,08B,1204544,1816604,2026,2026-03-04T15:45:19.000,41.65143133,-87.52725823,"
,  
(41.651431329, -87.527258234)"
14122129,JK162347,2026-02-24 20:00:00,025XX N CLARK ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1935,19,43,7,14,1172365,1917185,2026,2026-03-04T15:45:19.000,41.92820201,-87.64203601,"
,  
(41.928202012, -87.642036006)"
14120775,JK161624,2026-02-24 20:00:00,029XX N LOCKWOOD AVE,760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,FALSE,FALSE,2514,25,31,19,6,1140540,1918888,2026,2026-03-04T15:45:19.000,41.93351976,-87.75894042,"
,  
(41.933519761, -87.758940424)"
14120896,JK161725,2026-02-24 20:00:00,030XX W FLETCHER ST,710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,FALSE,FALSE,1411,14,35,21,6,1155632,1920789,2026,2026-03-04T15:45:19.000,41.93844539,-87.70342647,"
,  
(41.938445391, -87.703426465)"
14122400,JK163558,2026-02-24 19:57:00,047XX S ELLIS AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,FALSE,FALSE,222,2,4,39,26,1183718,1873712,2026,2026-03-04T15:45:19.000,41.80865131,-87.60168,"
,  
(41.808651313, -87.601680003)"
14120360,JK161046,2026-02-24 19:53:00,015XX N LA SALLE DR,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,TRUE,TRUE,1821,18,2,8,08B,1174852,1910450,2026,2026-03-04T15:45:19.000,41.90966551,-87.63309935,"
,  
(41.909665505, -87.633099347)"
